user = john.carnell, sessionId = E148AD1E25539FC79745291EFCEA54B7 ,  2019-08-02T14:33:09.390+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getPaginatedUsages , INFO ,  Request received in controller to get paginated usages. TenantUUID: FMS-0RG-001001 Offset: 0 Limit: 10  AssetUUID: null Start Date: null End Date: null
user = john.carnell, sessionId = E148AD1E25539FC79745291EFCEA54B7 ,  2019-08-02T14:33:09.432+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getPaginatedUsages , INFO ,  Usages got successfully
user = john.carnell, sessionId = 73BE25B07C0D21F229490BD5EC5051C1 ,  2019-08-02T14:33:09.484+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 73BE25B07C0D21F229490BD5EC5051C1 ,  2019-08-02T14:33:09.484+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 23EDBB74928A48A7BC61126034E8AB6E ,  2019-08-02T14:33:12.000+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetController.getBasicAssetDetailByTenant , INFO ,  Request received in controller to get basic asset detail by tenant uuid. TenantUUID: FMS-0RG-001001
user = john.carnell, sessionId = 23EDBB74928A48A7BC61126034E8AB6E ,  2019-08-02T14:33:12.003+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetService.getBasicAssetDetailByTenant , INFO ,  Basic detail of asset got successfully
user = john.carnell, sessionId = 65CEDA55F26B16EEB4A5C60371FF32AB ,  2019-08-02T14:33:12.037+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetController.getPaginatedConsumptions , INFO ,  Request received in controller to get paginated consumptions. TenantUUID: FMS-0RG-001001 Offset: 0 Limit: 10  AssetID: null Start Date: null End Date: null
user = john.carnell, sessionId = 65CEDA55F26B16EEB4A5C60371FF32AB ,  2019-08-02T14:33:12.098+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetService.getPaginatedConsumptions , INFO ,  Page of consumptions got successfully.
user = john.carnell, sessionId = DF26B26731D9D0E41C70719AA9843935 ,  2019-08-02T14:33:12.134+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = DF26B26731D9D0E41C70719AA9843935 ,  2019-08-02T14:33:12.141+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = EC5404898979F9891A618BF877BD1646 ,  2019-08-02T14:33:21.514+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = EC5404898979F9891A618BF877BD1646 ,  2019-08-02T14:33:21.518+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
,  ,  2019-08-03T12:25:40.596+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
user = john.carnell, sessionId = 81C4B6419C4FF5D154A3188E2E3A6F4D ,  2019-08-03T12:25:55.689+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 81C4B6419C4FF5D154A3188E2E3A6F4D ,  2019-08-03T12:25:55.752+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 036C657DCADC61D3893C414492A7730B ,  2019-08-03T12:25:57.842+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 036C657DCADC61D3893C414492A7730B ,  2019-08-03T12:25:57.868+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = C8B8505116095A01B4C4460763967DF6 ,  2019-08-03T12:26:02.716+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = C8B8505116095A01B4C4460763967DF6 ,  2019-08-03T12:26:02.720+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 28A8AF5FF0894BB04CC40C0B8533227D ,  2019-08-03T12:26:03.945+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 28A8AF5FF0894BB04CC40C0B8533227D ,  2019-08-03T12:26:03.950+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = B5D5D335028EA131466996D7B767FEC8 ,  2019-08-03T12:26:04.058+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = B5D5D335028EA131466996D7B767FEC8 ,  2019-08-03T12:26:04.093+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 484326CA109AF1AB3D845F2FEBC69266 ,  2019-08-03T12:26:07.955+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetController.getBasicAssetDetailByTenant , INFO ,  Request received in controller to get basic asset detail by tenant uuid. TenantUUID: FMS-0RG-001001
user = john.carnell, sessionId = 484326CA109AF1AB3D845F2FEBC69266 ,  2019-08-03T12:26:07.958+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetService.getBasicAssetDetailByTenant , INFO ,  Basic detail of asset got successfully
user = john.carnell, sessionId = C15F5DF89BFBBB7302C686C6F4AAF96C ,  2019-08-03T12:26:08.003+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getPaginatedUsages , INFO ,  Request received in controller to get paginated usages. TenantUUID: FMS-0RG-001001 Offset: 0 Limit: 10  AssetUUID: null Start Date: null End Date: null
user = john.carnell, sessionId = C15F5DF89BFBBB7302C686C6F4AAF96C ,  2019-08-03T12:26:08.043+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getPaginatedUsages , INFO ,  Usages got successfully
user = john.carnell, sessionId = A8780947C47398A4839F1B366FAA095B ,  2019-08-03T12:26:08.095+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = A8780947C47398A4839F1B366FAA095B ,  2019-08-03T12:26:08.095+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 7E270C784FEFCBE13F2D62ED05474247 ,  2019-08-03T12:26:11.481+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetController.getBasicAssetDetailByTenant , INFO ,  Request received in controller to get basic asset detail by tenant uuid. TenantUUID: FMS-0RG-001001
user = john.carnell, sessionId = 7E270C784FEFCBE13F2D62ED05474247 ,  2019-08-03T12:26:11.485+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetService.getBasicAssetDetailByTenant , INFO ,  Basic detail of asset got successfully
user = john.carnell, sessionId = 5E241DFB9993B40FA3032D596D7DA932 ,  2019-08-03T12:26:11.516+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetController.getPaginatedConsumptions , INFO ,  Request received in controller to get paginated consumptions. TenantUUID: FMS-0RG-001001 Offset: 0 Limit: 10  AssetID: null Start Date: null End Date: null
user = john.carnell, sessionId = 5E241DFB9993B40FA3032D596D7DA932 ,  2019-08-03T12:26:11.579+0000 , http-nio-8195-exec-7 , com.sharklabs.ams.api.AssetService.getPaginatedConsumptions , INFO ,  Page of consumptions got successfully.
user = john.carnell, sessionId = 81036923D7D6453610912BAC9394F0FD ,  2019-08-03T12:26:11.611+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 81036923D7D6453610912BAC9394F0FD ,  2019-08-03T12:26:11.620+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 8EBE582F7CEC5DFCB51F099E57DDE13F ,  2019-08-03T12:27:01.827+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 8EBE582F7CEC5DFCB51F099E57DDE13F ,  2019-08-03T12:27:01.831+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = EA9C197211B3597696ED25F4E468B1FC ,  2019-08-03T12:27:11.997+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = EA9C197211B3597696ED25F4E468B1FC ,  2019-08-03T12:27:12.001+0000 , http-nio-8195-exec-2 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = CC771B919CBEABF43EB7FB759E673C58 ,  2019-08-03T12:27:54.187+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = CC771B919CBEABF43EB7FB759E673C58 ,  2019-08-03T12:27:54.191+0000 , http-nio-8195-exec-4 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 09C4AE090B2C95A8C4EFEB93B8468206 ,  2019-08-03T12:28:13.958+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = 09C4AE090B2C95A8C4EFEB93B8468206 ,  2019-08-03T12:28:13.989+0000 , http-nio-8195-exec-6 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = 9451BDCDF0038620F9F50FDCADA95340 ,  2019-08-03T12:28:25.587+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetController.getPaginatedAssets , INFO ,  Request received in controller to get page of assets.
user = john.carnell, sessionId = 9451BDCDF0038620F9F50FDCADA95340 ,  2019-08-03T12:28:25.591+0000 , http-nio-8195-exec-8 , com.sharklabs.ams.api.AssetService.getPaginatedAssets , INFO ,  Received assets from database. Returning to controller
user = john.carnell, sessionId = D9147A745A2EEAB7F58D122E2F8276C3 ,  2019-08-03T12:28:25.669+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetController.getNameAndTypeOfAssetsByUUIDS , INFO ,  Request received in controller to get name and type of assets by uuids.
user = john.carnell, sessionId = D9147A745A2EEAB7F58D122E2F8276C3 ,  2019-08-03T12:28:25.704+0000 , http-nio-8195-exec-10 , com.sharklabs.ams.api.AssetService.getNameAndTypeOfAssetsByUUIDS , INFO ,  Received assets from database. Returning to controller
,  ,  2019-08-05T09:37:22.554+0000 , main , com.sharklabs.ams.AssetApplication.main , INFO ,  ******* Asset Management Service has started *********
user = john.carnell, sessionId = 71A0FFE82F2FDB96C9CC9818D96F120D ,  2019-08-05T09:47:47.946+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetController.getAsset , INFO ,  Request received in controller to get asset. UUID: 58b87d2f-961a-4edd-9af2-f3e023976ae8
user = john.carnell, sessionId = 71A0FFE82F2FDB96C9CC9818D96F120D ,  2019-08-05T09:47:48.012+0000 , http-nio-8195-exec-3 , com.sharklabs.ams.api.AssetService.getAsset , INFO ,  Received Asset From database. Sending it to controller
user = john.carnell, sessionId = 7DDD8364212B240B7F7DDFCABC1B34D8 ,  2019-08-05T09:50:18.984+0000 , http-nio-8195-exec-5 , com.sharklabs.ams.api.AssetController.getAsset , INFO ,  Request received in controller to get asset. UUID: aae93afe-2f54-420b-baae-fe32b3fd611f
